Id,TagName,TagToConvertTo
0,"unmarked","(TagName="""")"
1,"landscape","(TagName=""environment.foliage"")"
2,"None","(TagName="""")"
3,"None","(TagName="""")"
4,"None","(TagName="""")"
5,"None","(TagName="""")"
6,"None","(TagName="""")"
7,"None","(TagName="""")"
8,"None","(TagName="""")"
9,"None","(TagName="""")"
10,"road","(TagName=""lane.driving"")"
11,"travellane","(TagName="""")"
12,"intersection","(TagName=""lane.driving.junction"")"
13,"median","(TagName=""lane.median"")"
14,"shoulder","(TagName=""lane.shoulder"")"
15,"driveway","(TagName=""lane.driveway"")"
16,"parking","(TagName=""lane.parking"")"
17,"None","(TagName="""")"
18,"island","(TagName=""object.obstacle.traffic_island"")"
19,"crossing","(TagName=""lane.crosswalk"")"
20,"sidewalk","(TagName=""lane.sidewalk"")"
21,"bikepath","(TagName=""lane.biking"")"
22,"None","(TagName="""")"
23,"None","(TagName="""")"
24,"None","(TagName="""")"
25,"None","(TagName="""")"
26,"None","(TagName="""")"
27,"None","(TagName="""")"
28,"None","(TagName="""")"
29,"None","(TagName="""")"
30,"concretedivider","(TagName="""")"
31,"curb","(TagName=""lane.curb"")"
32,"guardrail","(TagName=""object.obstacle.railing"")"
33,"cone","(TagName=""object.construction.cone"")"
34,"barrel","(TagName=""object.construction.barrel"")"
35,"None","(TagName="""")"
36,"None","(TagName="""")"
37,"None","(TagName="""")"
38,"None","(TagName="""")"
39,"None","(TagName="""")"
40,"marking","(TagName=""marking.road"")"
41,"marking:broken","(TagName=""marking.road.broken"")"
42,"marking:crosshatch","(TagName=""marking.road.custom"")"
43,"marking:dashed","(TagName=""marking.road.solid_broken"")"
44,"marking:solid","(TagName=""marking.road.solid"")"
45,"marking:dotted","(TagName=""marking.road.dotted"")"
46,"None","(TagName="""")"
47,"None","(TagName="""")"
48,"None","(TagName="""")"
49,"marking:word","(TagName=""marking.word"")"
50,"marking:symbol","(TagName=""marking.symbol"")"
51,"None","(TagName="""")"
52,"None","(TagName="""")"
53,"None","(TagName="""")"
54,"None","(TagName="""")"
55,"None","(TagName="""")"
56,"None","(TagName="""")"
57,"None","(TagName="""")"
58,"None","(TagName="""")"
59,"None","(TagName="""")"
60,"pedestrian","(TagName=""object.pedestrian"")"
61,"animal","(TagName=""object.animal"")"
62,"rider","(TagName="""")"
63,"None","(TagName="""")"
64,"None","(TagName="""")"
65,"None","(TagName="""")"
66,"None","(TagName="""")"
67,"None","(TagName="""")"
68,"None","(TagName="""")"
69,"None","(TagName="""")"
70,"generic_obstacle","(TagName=""object.obstacle"")"
71,"None","(TagName="""")"
72,"None","(TagName="""")"
73,"None","(TagName="""")"
74,"None","(TagName="""")"
75,"None","(TagName="""")"
76,"None","(TagName="""")"
77,"None","(TagName="""")"
78,"None","(TagName="""")"
79,"None","(TagName="""")"
80,"vehicle","(TagName=""object.vehicle"")"
81,"truck","(TagName=""object.vehicle.truck"")"
82,"van","(TagName=""object.vehicle.van"")"
83,"trailer","(TagName=""object.vehicle.trailer"")"
84,"bus","(TagName=""object.vehicle.bus"")"
85,"train","(TagName=""object.vehicle.train"")"
86,"None","(TagName="""")"
87,"None","(TagName="""")"
88,"None","(TagName="""")"
89,"None","(TagName="""")"
90,"None","(TagName="""")"
91,"None","(TagName="""")"
92,"None","(TagName="""")"
93,"None","(TagName="""")"
94,"None","(TagName="""")"
95,"None","(TagName="""")"
96,"None","(TagName="""")"
97,"None","(TagName="""")"
98,"None","(TagName="""")"
99,"None","(TagName="""")"
100,"terrain","(TagName=""environment.terrain"")"
101,"tree","(TagName=""environment.foliage.tree"")"
102,"bush","(TagName=""environment.foliage.vegetation"")"
103,"planter","(TagName=""object.obstacle.planter"")"
104,"None","(TagName="""")"
105,"None","(TagName="""")"
