---,Tag,Value
environment,"(TagName=""environment"")","1000"
environment.terrain,"(TagName=""environment.terrain"")","1001"
environment.support,"(TagName=""environment.support"")","1002"
environment.support.signal,"(TagName=""environment.support.signal"")","1003"
environment.support.pole,"(TagName=""environment.support.pole"")","1004"
environment.support.gantry,"(TagName=""environment.support.gantry"")","1005"
environment.structure,"(TagName=""environment.structure"")","1006"
environment.structure.tunnel,"(TagName=""environment.structure.tunnel"")","1007"
environment.structure.bus_shelter,"(TagName=""environment.structure.bus_shelter"")","1008"
environment.structure.building,"(TagName=""environment.structure.building"")","1009"
environment.structure.bridge,"(TagName=""environment.structure.bridge"")","1010"
environment.sky,"(TagName=""environment.sky"")","1011"
environment.foliage,"(TagName=""environment.foliage"")","1012"
environment.foliage.vegetation,"(TagName=""environment.foliage.vegetation"")","1013"
environment.foliage.tree,"(TagName=""environment.foliage.tree"")","1014"
environment.foliage.grass,"(TagName=""environment.foliage.grass"")","1015"
lane,"(TagName=""lane"")","2000"
lane.sidewalk,"(TagName=""lane.sidewalk"")","2001"
lane.shoulder,"(TagName=""lane.shoulder"")","2002"
lane.railtrack,"(TagName=""lane.railtrack"")","2003"
lane.parking,"(TagName=""lane.parking"")","2004"
lane.median,"(TagName=""lane.median"")","2005"
lane.driving,"(TagName=""lane.driving"")","2006"
lane.driving.junction,"(TagName=""lane.driving.junction"")","2007"
lane.driveway,"(TagName=""lane.driveway"")","2008"
lane.curb,"(TagName=""lane.curb"")","2009"
lane.crosswalk,"(TagName=""lane.crosswalk"")","2010"
lane.biking,"(TagName=""lane.biking"")","2011"
marking,"(TagName=""marking"")","3000"
marking.word,"(TagName=""marking.word"")","3001"
marking.symbol,"(TagName=""marking.symbol"")","3002"
marking.road,"(TagName=""marking.road"")","3003"
marking.road.solid_solid,"(TagName=""marking.road.solid_solid"")","3004"
marking.road.solid_broken,"(TagName=""marking.road.solid_broken"")","3005"
marking.road.solid,"(TagName=""marking.road.solid"")","3006"
marking.road.rail,"(TagName=""marking.road.rail"")","3007"
marking.road.dotted,"(TagName=""marking.road.dotted"")","3008"
marking.road.custom,"(TagName=""marking.road.custom"")","3009"
marking.road.broken_solid,"(TagName=""marking.road.broken_solid"")","3010"
marking.road.broken_broken,"(TagName=""marking.road.broken_broken"")","3011"
marking.road.broken,"(TagName=""marking.road.broken"")","3012"
object,"(TagName=""object"")","4000"
object.vehicle,"(TagName=""object.vehicle"")","4001"
object.vehicle.van,"(TagName=""object.vehicle.van"")","4002"
object.vehicle.truck,"(TagName=""object.vehicle.truck"")","4003"
object.vehicle.train,"(TagName=""object.vehicle.train"")","4004"
object.vehicle.trailer,"(TagName=""object.vehicle.trailer"")","4005"
object.vehicle.bus,"(TagName=""object.vehicle.bus"")","4006"
object.road,"(TagName=""object.road"")","4007"
object.road.reflector,"(TagName=""object.road.reflector"")","4008"
object.road.reflector.yellow,"(TagName=""object.road.reflector.yellow"")","4009"
object.road.reflector.white,"(TagName=""object.road.reflector.white"")","4010"
object.road.reflector.one_way,"(TagName=""object.road.reflector.one_way"")","4011"
object.road.reflector.one_way.white,"(TagName=""object.road.reflector.one_way.white"")","4012"
object.road.reflector.one_way.red,"(TagName=""object.road.reflector.one_way.red"")","4013"
object.road.reflector.blue,"(TagName=""object.road.reflector.blue"")","4014"
object.road.manhole,"(TagName=""object.road.manhole"")","4015"
object.road.catch_basin,"(TagName=""object.road.catch_basin"")","4016"
object.pedestrian,"(TagName=""object.pedestrian"")","4017"
object.obstacle,"(TagName=""object.obstacle"")","4018"
object.obstacle.utility_box,"(TagName=""object.obstacle.utility_box"")","4019"
object.obstacle.trashcan,"(TagName=""object.obstacle.trashcan"")","4020"
object.obstacle.trashbag,"(TagName=""object.obstacle.trashbag"")","4021"
object.obstacle.traffic_island,"(TagName=""object.obstacle.traffic_island"")","4022"
object.obstacle.railing,"(TagName=""object.obstacle.railing"")","4023"
object.obstacle.planter,"(TagName=""object.obstacle.planter"")","4024"
object.obstacle.payphone,"(TagName=""object.obstacle.payphone"")","4025"
object.obstacle.parking_meter,"(TagName=""object.obstacle.parking_meter"")","4026"
object.obstacle.newspaper_stand,"(TagName=""object.obstacle.newspaper_stand"")","4027"
object.obstacle.mailbox,"(TagName=""object.obstacle.mailbox"")","4028"
object.obstacle.lamp_post,"(TagName=""object.obstacle.lamp_post"")","4029"
object.obstacle.flag_banner,"(TagName=""object.obstacle.flag_banner"")","4030"
object.obstacle.fire_hydrant,"(TagName=""object.obstacle.fire_hydrant"")","4031"
object.obstacle.fence,"(TagName=""object.obstacle.fence"")","4032"
object.obstacle.bike_rack,"(TagName=""object.obstacle.bike_rack"")","4033"
object.obstacle.bench,"(TagName=""object.obstacle.bench"")","4034"
object.obstacle.barrier,"(TagName=""object.obstacle.barrier"")","4035"
object.construction,"(TagName=""object.construction"")","4036"
object.construction.sawhorse,"(TagName=""object.construction.sawhorse"")","4037"
object.construction.cone,"(TagName=""object.construction.cone"")","4038"
object.construction.barrel,"(TagName=""object.construction.barrel"")","4039"
object.animal,"(TagName=""object.animal"")","4040"
sign,"(TagName=""sign"")","5000"
sign.traffic,"(TagName=""sign.traffic"")","5001"
sign.traffic.yield,"(TagName=""sign.traffic.yield"")","5002"
sign.traffic.stop_ahead,"(TagName=""sign.traffic.stop_ahead"")","5003"
sign.traffic.stop,"(TagName=""sign.traffic.stop"")","5004"
sign.traffic.speedlimit,"(TagName=""sign.traffic.speedlimit"")","5005"
sign.traffic.slow_children,"(TagName=""sign.traffic.slow_children"")","5006"
sign.traffic.signal_ahead,"(TagName=""sign.traffic.signal_ahead"")","5007"
sign.traffic.school_zone,"(TagName=""sign.traffic.school_zone"")","5008"
sign.traffic.school_zone.end,"(TagName=""sign.traffic.school_zone.end"")","5009"
sign.traffic.school_zone.begin,"(TagName=""sign.traffic.school_zone.begin"")","5010"
sign.traffic.roadwork,"(TagName=""sign.traffic.roadwork"")","5011"
sign.traffic.roadwork.end,"(TagName=""sign.traffic.roadwork.end"")","5012"
sign.traffic.roadwork.begin,"(TagName=""sign.traffic.roadwork.begin"")","5013"
sign.traffic.reflector,"(TagName=""sign.traffic.reflector"")","5014"
sign.traffic.rail,"(TagName=""sign.traffic.rail"")","5015"
sign.traffic.playground_zone,"(TagName=""sign.traffic.playground_zone"")","5016"
sign.traffic.playground_zone.end,"(TagName=""sign.traffic.playground_zone.end"")","5017"
sign.traffic.playground_zone.begin,"(TagName=""sign.traffic.playground_zone.begin"")","5018"
sign.traffic.one_way,"(TagName=""sign.traffic.one_way"")","5019"
sign.traffic.no_entry,"(TagName=""sign.traffic.no_entry"")","5020"
sign.traffic.crossing,"(TagName=""sign.traffic.crossing"")","5021"
sign.traffic.chevron,"(TagName=""sign.traffic.chevron"")","5022"
sign.info,"(TagName=""sign.info"")","5023"
sign.info.street,"(TagName=""sign.info.street"")","5024"
sign.info.route,"(TagName=""sign.info.route"")","5025"
sign.info.roadwork,"(TagName=""sign.info.roadwork"")","5026"
sign.info.parking,"(TagName=""sign.info.parking"")","5027"
sign.info.municipal,"(TagName=""sign.info.municipal"")","5028"
sign.info.interstate,"(TagName=""sign.info.interstate"")","5029"
sign.info.exit,"(TagName=""sign.info.exit"")","5030"
sign.info.bus_stop,"(TagName=""sign.info.bus_stop"")","5031"
sign.info.amenities,"(TagName=""sign.info.amenities"")","5032"
signal,"(TagName=""signal"")","6000"
signal.traffic_light,"(TagName=""signal.traffic_light"")","6001"
